ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
SYF,SYNCHRONY FINANCIAL,stocks,us,XNYS,CS,True,usd,0001601712,BBG00658F3P3,BBG00658F3Q2,2024-04-19T00:00:00Z
SYK,Stryker Corporation,stocks,us,XNYS,CS,True,usd,0000310764,BBG000DN7P92,BBG001S8FR03,2024-04-19T00:00:00Z
SYM,Symbotic Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001837240,BBG00Z72HCV1,BBG00Z72HCX9,2024-04-19T00:00:00Z
SYNA,Synaptics Inc,stocks,us,XNAS,CS,True,usd,0000817720,BBG000BQV1S2,BBG001SCDXM9,2024-04-19T00:00:00Z
SYNX,Silynxcom Ltd.,stocks,us,XASE,CS,True,usd,0001976443,,,2024-04-19T00:00:00Z
SYPR,Sypris Solutions Inc,stocks,us,XNAS,CS,True,usd,0000864240,BBG000BBQZV2,BBG001S6BZF7,2024-04-19T00:00:00Z
SYRA,Syra Health Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001922335,BBG01GJVNPJ3,BBG01GJVNPK1,2024-04-19T00:00:00Z
SYRE,"Spyre Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001636282,BBG0067L94B2,BBG0067L94C1,2024-04-19T00:00:00Z
SYRS,"Syros Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001556263,BBG004FFTL76,BBG004FFTL85,2024-04-19T00:00:00Z
SYTA,"Siyata Mobile, Inc.",stocks,us,XNAS,CS,True,usd,0001649009,BBG000BXPF58,BBG001S5WW90,2024-04-19T00:00:00Z
SYY,Sysco Corporation,stocks,us,XNYS,CS,True,usd,0000096021,BBG000BTVJ25,BBG001S5WJS8,2024-04-19T00:00:00Z
T,AT&T Inc.,stocks,us,XNYS,CS,True,usd,0000732717,BBG000BSJK37,BBG001S5VWH2,2024-04-19T00:00:00Z
TAC,TransAlta Corporation,stocks,us,XNYS,CS,True,usd,0001144800,BBG000BBR1G3,BBG001S5WJZ0,2024-04-19T00:00:00Z
TACT,Transact Technologies Inc,stocks,us,XNAS,CS,True,usd,0001017303,BBG000BD6DY6,BBG001S5WK05,2024-04-19T00:00:00Z
TAIT,Taitron Components Inc,stocks,us,XNAS,CS,True,usd,0000942126,BBG000F4RZ43,BBG001S8GYJ7,2024-04-19T00:00:00Z
TALK,"Talkspace, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001803901,BBG00V317301,BBG00V317329,2024-04-19T00:00:00Z
TALO,"Talos Energy, Inc. Common Stock",stocks,us,XNYS,CS,True,usd,0001724965,BBG00JPH4HQ3,BBG00JPH4JG0,2024-04-19T00:00:00Z
TANH,Tantech Holdings Ltd. Common Stock,stocks,us,XNAS,CS,True,usd,0001588084,,,2024-04-19T00:00:00Z
